%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1575431741402043979,22012,1570162034499993085,base_imu_link,-0.0363205070163,0.0601780345774,-0.306169509862,0.949378563143,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.790225703125,-0.995921875,9.65776085937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741413342491,22013,1570162034519926071,base_imu_link,-0.0363123480841,0.0596314522019,-0.306296642666,0.94937235581,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9147159375,-1.07751085937,9.91133789062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741425582476,22014,1570162034539940118,base_imu_link,-0.036373278964,0.0597377247192,-0.306202956214,0.949393563507,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.943444453125,-1.01507421875,9.82017273437,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741444196504,22015,1570162034559945106,base_imu_link,-0.0362414065181,0.0598732796834,-0.306114059934,0.949418734355,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.01,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.890583984375,-1.05337890625,9.58574804687,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741467118831,22016,1570162034579946994,base_imu_link,-0.0364707775141,0.059821717595,-0.305529227747,0.949601566703,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.847682734375,-1.12998828125,9.71023828125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741486617055,1868,1575431741485449075,base_imu_link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575431741539277368,22017,1570162034599929094,base_imu_link,-0.036956953493,0.0596466677744,-0.306105804872,0.949408076033,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.828530390625,-1.08708703125,9.78225109375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741539511007,22018,1570162034620012998,base_imu_link,-0.0372363027331,0.0593659628011,-0.306035254049,0.949437498469,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.81895421875,-1.11581554687,9.71521789062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741539517100,22019,1570162034639909029,base_imu_link,-0.0376490439309,0.0592246194809,-0.306031612105,0.949431222538,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.87641125,-0.928888671875,9.74394640625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741561796333,22020,1570162034659950971,base_imu_link,-0.036943627597,0.0591033550019,-0.306315800661,0.949374842764,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.953020625,-0.97676953125,9.60988,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431741616123874,1869,1575431741610677003,base_imu_link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
