%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.57E+18,21315,1.57E+18,base_imu_link,-0.035256699,0.059698628,-0.308650795,0.948645205,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.909736328,-1.024650391,9.844304688,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21316,1.57E+18,base_imu_link,-0.035245017,0.059772058,-0.308396864,0.948723597,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.991325313,-0.967193359,9.825152344,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21317,1.57E+18,base_imu_link,-0.034908352,0.060009785,-0.308059119,0.94883076,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.943444453,-1.005498047,9.45666125,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21318,1.57E+18,base_imu_link,-0.034861949,0.060312076,-0.308782295,0.948578195,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.838106563,-1.000901484,9.60988,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21319,1.57E+18,base_imu_link,-0.034992271,0.059969271,-0.308473416,0.94869562,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.818954219,-1.053378906,9.820172734,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21320,1.57E+18,base_imu_link,-0.03523896,0.059500232,-0.308501538,0.948706877,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.866835078,-1.024650391,9.810596563,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21321,1.57E+18,base_imu_link,-0.035250719,0.059426801,-0.30875545,0.948628438,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.885987422,-1.005498047,9.772674922,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21322,1.57E+18,base_imu_link,-0.035219759,0.059369145,-0.30793268,0.948900594,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.933868281,-0.976769531,9.715217891,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21323,1.57E+18,base_imu_link,-0.034989232,0.059486865,-0.308097589,0.948848219,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.010477656,-1.043802734,9.667337031,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21324,1.57E+18,base_imu_link,-0.035025675,0.06015845,-0.308374254,0.948714648,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.053378906,-0.986345703,9.925510625,0.04,0,0,0,0.04,0,0,0,0.04
